gene,rf_rank,logfc,pval,pval_adj,score
ENSG00000230021,0,0.6821576952934265,2.13421314890046e-13,1.42280876593364e-10,7.340108394622803
SNHG14,2,0.06614935398101807,3.3509938719319607e-07,4.188742339914951e-05,5.1025543212890625
KCNIP4,3,0.0416334792971611,0.001060911174267442,0.041604359775193805,3.2738547325134277
LUC7L3,4,0.1414349228143692,0.0011860678875674027,0.045617995675669334,3.2422094345092773
SLC24A2,5,0.09337417036294937,0.003298812394658049,0.08915709174751484,2.9384279251098633
LRRTM4,6,0.001917748712003231,0.0038525966949533564,0.10098625374519943,2.8899853229522705
SIK3,9,-0.253856897354126,9.989281831366833e-06,0.0009081165301242576,-4.417405128479004
NCAM2,14,0.21697090566158295,1.1138601978971253e-07,1.8564336631618753e-05,5.307095050811768
HSP90AA1,19,0.7099449634552002,3.533319479616708e-27,7.066638959233416e-24,10.797595977783203
CNTN5,21,0.10571740567684174,0.027669213237404688,0.4632617166560239,2.2019448280334473
NPAS3,23,0.18257597088813782,0.002628701157884138,0.07965761084497387,3.0081191062927246
ANKRD12,24,0.4577801525592804,8.936418086567794e-09,2.234104521641948e-06,5.749771595001221
PRRC2C,25,0.21051442623138428,0.009553603715533775,0.21712735717122217,2.591581106185913
